ID d'incident,Timestamp,Type d'incident,Description,Severité,Statut,Responsable
700,2023-05-25,Problème de connexion,impossible daccéder internet,Faible,En cours,Equipe Sécurité
701,2023-03-19,Panne matérielle,impossible daccéder internet,Moyenne,Résolu,Equipe Sécurité
702,2023-10-15,Surcharge,carte réseau ne répond plus,Faible,Résolu,Equipe Sécurité
703,2023-10-20,Panne matérielle,serveur web est surchargé,Élevée,Ouvert,Equipe Réseau
704,2023-08-22,Surcharge,accès suspects ont été détectés,Moyenne,En cours,Equipe Support
705,2023-09-21,Mise à jour échouée,malware a été trouvé sur serveur,Élevée,En cours,Equipe Support
706,2023-07-01,Intrusion,capacité bande passante dépassée,Moyenne,En cours,Equipe Systèmes
707,2023-12-04,Surcharge,serveur web est surchargé,Moyenne,Ouvert,Equipe Support
708,2023-12-28,Mise à jour échouée,connexion au vpn a échoué,Critique,Ouvert,Equipe Sécurité
709,2023-10-17,Panne matérielle,connexion intermittente détectée,Moyenne,Résolu,Equipe Support
710,2023-09-29,Panne matérielle,base données est sous forte charge,Moyenne,Ouvert,Equipe Systèmes
711,2023-12-31,Panne matérielle,connexion au vpn a échoué,Critique,Ouvert,Equipe Systèmes
712,2023-12-18,Intrusion,serveur principal a cessé fonctionner,Faible,Résolu,Equipe Réseau
713,2023-10-01,Mise à jour échouée,carte réseau ne répond plus,Critique,Résolu,Equipe Sécurité
714,2023-01-30,Surcharge,impossible dappliquer mise jour sécurité,Critique,Ouvert,Equipe Support
715,2023-02-07,Problème de connexion,base données est sous forte charge,Faible,Résolu,Equipe Support
716,2023-04-04,Panne matérielle,impossible daccéder internet,Moyenne,Résolu,Equipe Réseau
717,2023-06-01,Problème de connexion,impossible dappliquer mise jour sécurité,Élevée,Résolu,Equipe Systèmes
718,2023-10-16,Intrusion,base données est sous forte charge,Critique,En cours,Equipe Sécurité
719,2023-12-07,Intrusion,connexion au vpn a échoué,Moyenne,En cours,Equipe Réseau
720,2023-09-28,Problème de connexion,impossible daccéder internet,Élevée,En cours,Equipe Réseau
721,2023-12-21,Panne matérielle,échec mise jour logiciel,Critique,Résolu,Equipe Support
722,2023-08-26,Panne matérielle,base données est sous forte charge,Faible,Ouvert,Equipe Réseau
723,2023-01-20,Mise à jour échouée,impossible daccéder internet,Faible,Ouvert,Equipe Support
724,2023-12-18,Surcharge,échec mise jour logiciel,Faible,Résolu,Equipe Support
725,2023-08-05,Intrusion,échec mise jour logiciel,Faible,En cours,Equipe Sécurité
726,2023-10-18,Intrusion,accès suspects ont été détectés,Faible,Résolu,Equipe Systèmes
727,2023-06-24,Intrusion,carte réseau ne répond plus,Élevée,Ouvert,Equipe Sécurité
728,2023-11-22,Problème de connexion,capacité bande passante dépassée,Faible,Résolu,Equipe Sécurité
729,2023-04-18,Intrusion,impossible dappliquer mise jour sécurité,Faible,Ouvert,Equipe Sécurité
730,2023-02-22,Panne matérielle,tentative connexion non autorisée détectée,Moyenne,Résolu,Equipe Systèmes
731,2023-07-19,Surcharge,carte réseau ne répond plus,Moyenne,Ouvert,Equipe Réseau
732,2023-04-06,Intrusion,tentative connexion non autorisée détectée,Faible,En cours,Equipe Sécurité
733,2023-04-23,Intrusion,serveur principal a cessé fonctionner,Faible,Résolu,Equipe Systèmes
734,2023-05-18,Problème de connexion,accès suspects ont été détectés,Faible,Résolu,Equipe Sécurité
735,2023-11-03,Panne matérielle,malware a été trouvé sur serveur,Critique,Ouvert,Equipe Sécurité
736,2023-07-06,Surcharge,impossible dappliquer mise jour sécurité,Critique,En cours,Equipe Support
737,2023-08-03,Problème de connexion,tentative connexion non autorisée détectée,Faible,En cours,Equipe Systèmes
738,2023-05-15,Intrusion,connexion au vpn a échoué,Moyenne,Résolu,Equipe Support
739,2023-08-23,Mise à jour échouée,serveur web est surchargé,Moyenne,Résolu,Equipe Réseau
740,2023-03-23,Mise à jour échouée,accès suspects ont été détectés,Critique,En cours,Equipe Systèmes
741,2023-01-07,Intrusion,serveur web est surchargé,Élevée,Résolu,Equipe Systèmes
742,2023-05-10,Surcharge,serveur principal a cessé fonctionner,Critique,En cours,Equipe Support
743,2023-08-12,Panne matérielle,capacité bande passante dépassée,Critique,Résolu,Equipe Sécurité
744,2023-04-11,Mise à jour échouée,tentative connexion non autorisée détectée,Élevée,Ouvert,Equipe Systèmes
745,2023-08-31,Mise à jour échouée,carte réseau ne répond plus,Élevée,Ouvert,Equipe Systèmes
746,2023-01-03,Panne matérielle,impossible dappliquer mise jour sécurité,Élevée,Ouvert,Equipe Systèmes
747,2023-01-21,Problème de connexion,connexion au vpn a échoué,Faible,En cours,Equipe Support
748,2023-06-09,Surcharge,tentative connexion non autorisée détectée,Moyenne,Résolu,Equipe Réseau
749,2023-01-21,Panne matérielle,disque dur est tombé panne,Élevée,En cours,Equipe Systèmes
750,2023-07-13,Problème de connexion,base données est sous forte charge,Élevée,Résolu,Equipe Support
751,2023-02-07,Panne matérielle,mise jour firmware a échoué,Faible,En cours,Equipe Support
752,2023-02-23,Panne matérielle,accès suspects ont été détectés,Critique,Résolu,Equipe Systèmes
753,2023-08-31,Mise à jour échouée,malware a été trouvé sur serveur,Élevée,En cours,Equipe Réseau
754,2023-06-15,Intrusion,connexion au vpn a échoué,Faible,En cours,Equipe Réseau
755,2023-07-08,Surcharge,connexion intermittente détectée,Critique,Ouvert,Equipe Systèmes
756,2023-05-13,Panne matérielle,connexion intermittente détectée,Moyenne,Ouvert,Equipe Réseau
757,2023-04-01,Problème de connexion,impossible daccéder internet,Moyenne,Résolu,Equipe Support
758,2023-08-28,Surcharge,disque dur est tombé panne,Faible,Ouvert,Equipe Support
759,2023-05-31,Panne matérielle,connexion intermittente détectée,Faible,En cours,Equipe Sécurité
760,2023-03-13,Surcharge,carte réseau ne répond plus,Élevée,Ouvert,Equipe Sécurité
761,2023-04-12,Panne matérielle,mise jour firmware a échoué,Élevée,En cours,Equipe Support
762,2023-08-15,Surcharge,serveur principal a cessé fonctionner,Faible,Résolu,Equipe Systèmes
763,2023-12-22,Mise à jour échouée,impossible daccéder internet,Moyenne,En cours,Equipe Support
764,2023-04-11,Panne matérielle,impossible dappliquer mise jour sécurité,Élevée,Résolu,Equipe Sécurité
765,2023-08-19,Surcharge,impossible dappliquer mise jour sécurité,Élevée,Ouvert,Equipe Systèmes
766,2023-09-19,Mise à jour échouée,malware a été trouvé sur serveur,Critique,Résolu,Equipe Sécurité
767,2023-03-29,Panne matérielle,serveur principal a cessé fonctionner,Faible,En cours,Equipe Systèmes
768,2023-04-20,Mise à jour échouée,impossible daccéder internet,Critique,Résolu,Equipe Réseau
769,2023-03-30,Mise à jour échouée,disque dur est tombé panne,Élevée,En cours,Equipe Réseau
770,2023-03-24,Panne matérielle,malware a été trouvé sur serveur,Critique,Ouvert,Equipe Systèmes
771,2023-04-24,Panne matérielle,base données est sous forte charge,Élevée,En cours,Equipe Systèmes
772,2023-03-22,Intrusion,capacité bande passante dépassée,Élevée,Résolu,Equipe Systèmes
773,2023-08-12,Surcharge,impossible dappliquer mise jour sécurité,Élevée,Résolu,Equipe Systèmes
774,2023-02-20,Mise à jour échouée,serveur principal a cessé fonctionner,Élevée,En cours,Equipe Support
775,2023-06-22,Problème de connexion,accès suspects ont été détectés,Critique,En cours,Equipe Systèmes
776,2023-04-22,Mise à jour échouée,tentative connexion non autorisée détectée,Moyenne,En cours,Equipe Réseau
777,2023-10-08,Mise à jour échouée,impossible daccéder internet,Moyenne,Ouvert,Equipe Support
778,2023-03-08,Problème de connexion,accès suspects ont été détectés,Moyenne,Ouvert,Equipe Systèmes
779,2023-02-09,Surcharge,disque dur est tombé panne,Moyenne,Ouvert,Equipe Sécurité
780,2023-03-03,Mise à jour échouée,serveur principal a cessé fonctionner,Critique,Résolu,Equipe Support
781,2023-02-24,Surcharge,malware a été trouvé sur serveur,Faible,Résolu,Equipe Support
782,2023-07-14,Surcharge,disque dur est tombé panne,Élevée,Résolu,Equipe Systèmes
783,2023-04-24,Mise à jour échouée,accès suspects ont été détectés,Élevée,Résolu,Equipe Réseau
784,2023-07-20,Mise à jour échouée,connexion au vpn a échoué,Critique,Résolu,Equipe Systèmes
785,2023-08-14,Panne matérielle,base données est sous forte charge,Élevée,En cours,Equipe Systèmes
786,2023-01-24,Problème de connexion,capacité bande passante dépassée,Faible,Résolu,Equipe Réseau
787,2023-09-30,Mise à jour échouée,disque dur est tombé panne,Élevée,Ouvert,Equipe Systèmes
788,2023-07-23,Problème de connexion,connexion intermittente détectée,Moyenne,Résolu,Equipe Sécurité
789,2023-01-25,Panne matérielle,capacité bande passante dépassée,Moyenne,Résolu,Equipe Systèmes
790,2023-03-31,Mise à jour échouée,impossible daccéder internet,Moyenne,Résolu,Equipe Réseau
791,2023-10-22,Problème de connexion,disque dur est tombé panne,Élevée,Ouvert,Equipe Support
792,2023-01-27,Panne matérielle,base données est sous forte charge,Faible,Résolu,Equipe Réseau
793,2023-02-15,Problème de connexion,accès suspects ont été détectés,Critique,Résolu,Equipe Sécurité
794,2023-08-09,Intrusion,capacité bande passante dépassée,Élevée,Résolu,Equipe Support
795,2023-09-16,Intrusion,serveur web est surchargé,Critique,En cours,Equipe Sécurité
796,2023-07-21,Problème de connexion,disque dur est tombé panne,Moyenne,Résolu,Equipe Sécurité
797,2023-07-17,Mise à jour échouée,impossible daccéder internet,Critique,En cours,Equipe Systèmes
798,2023-04-25,Intrusion,accès suspects ont été détectés,Élevée,Résolu,Equipe Systèmes
799,2023-10-11,Panne matérielle,serveur web est surchargé,Élevée,Résolu,Equipe Sécurité
800,2023-04-02,Intrusion,base données est sous forte charge,Élevée,Résolu,Equipe Sécurité
801,2023-03-07,Intrusion,base données est sous forte charge,Moyenne,Ouvert,Equipe Support
802,2023-11-22,Surcharge,tentative connexion non autorisée détectée,Faible,En cours,Equipe Réseau
803,2023-01-24,Intrusion,mise jour firmware a échoué,Faible,Ouvert,Equipe Réseau
804,2023-05-16,Surcharge,serveur web est surchargé,Moyenne,Ouvert,Equipe Systèmes
805,2023-12-20,Surcharge,accès suspects ont été détectés,Critique,Ouvert,Equipe Systèmes
806,2023-03-15,Panne matérielle,impossible dappliquer mise jour sécurité,Moyenne,Résolu,Equipe Sécurité
807,2023-03-24,Panne matérielle,malware a été trouvé sur serveur,Élevée,En cours,Equipe Support
808,2023-07-04,Surcharge,connexion intermittente détectée,Faible,Résolu,Equipe Réseau
809,2023-09-28,Surcharge,connexion intermittente détectée,Faible,En cours,Equipe Systèmes
810,2023-12-07,Mise à jour échouée,carte réseau ne répond plus,Faible,Ouvert,Equipe Systèmes
811,2023-04-04,Intrusion,échec mise jour logiciel,Faible,En cours,Equipe Réseau
812,2023-02-07,Surcharge,base données est sous forte charge,Critique,Ouvert,Equipe Sécurité
813,2023-10-13,Intrusion,serveur web est surchargé,Faible,Résolu,Equipe Sécurité
814,2023-09-06,Surcharge,connexion intermittente détectée,Élevée,Résolu,Equipe Sécurité
815,2023-05-10,Problème de connexion,malware a été trouvé sur serveur,Moyenne,Ouvert,Equipe Sécurité
816,2023-09-19,Panne matérielle,serveur principal a cessé fonctionner,Moyenne,Résolu,Equipe Systèmes
817,2023-10-21,Panne matérielle,carte réseau ne répond plus,Moyenne,Ouvert,Equipe Support
818,2023-12-28,Intrusion,mise jour firmware a échoué,Critique,Ouvert,Equipe Réseau
819,2023-11-27,Mise à jour échouée,échec mise jour logiciel,Faible,Ouvert,Equipe Support
820,2023-04-02,Mise à jour échouée,impossible dappliquer mise jour sécurité,Moyenne,Ouvert,Equipe Systèmes
821,2023-05-08,Panne matérielle,accès suspects ont été détectés,Faible,Ouvert,Equipe Sécurité
822,2023-08-26,Panne matérielle,serveur web est surchargé,Critique,Ouvert,Equipe Sécurité
823,2023-02-08,Panne matérielle,impossible dappliquer mise jour sécurité,Élevée,Ouvert,Equipe Support
824,2023-10-30,Panne matérielle,disque dur est tombé panne,Critique,Ouvert,Equipe Réseau
825,2023-01-16,Problème de connexion,connexion au vpn a échoué,Moyenne,Résolu,Equipe Support
826,2023-08-20,Problème de connexion,échec mise jour logiciel,Faible,Résolu,Equipe Systèmes
827,2023-07-31,Panne matérielle,disque dur est tombé panne,Critique,En cours,Equipe Réseau
828,2023-12-07,Surcharge,serveur web est surchargé,Critique,Ouvert,Equipe Réseau
829,2023-04-08,Surcharge,serveur principal a cessé fonctionner,Moyenne,Résolu,Equipe Systèmes
830,2023-02-26,Problème de connexion,serveur web est surchargé,Élevée,En cours,Equipe Support
831,2023-08-08,Problème de connexion,mise jour firmware a échoué,Faible,Ouvert,Equipe Systèmes
832,2023-08-24,Intrusion,impossible dappliquer mise jour sécurité,Moyenne,Résolu,Equipe Systèmes
833,2023-06-27,Mise à jour échouée,impossible dappliquer mise jour sécurité,Moyenne,Résolu,Equipe Sécurité
834,2023-03-07,Panne matérielle,accès suspects ont été détectés,Faible,Ouvert,Equipe Réseau
835,2023-06-14,Problème de connexion,connexion intermittente détectée,Élevée,Ouvert,Equipe Réseau
836,2023-10-06,Intrusion,mise jour firmware a échoué,Critique,Résolu,Equipe Sécurité
837,2023-02-26,Mise à jour échouée,connexion intermittente détectée,Élevée,En cours,Equipe Support
838,2023-04-30,Surcharge,base données est sous forte charge,Critique,Ouvert,Equipe Sécurité
839,2023-02-23,Surcharge,disque dur est tombé panne,Faible,En cours,Equipe Support
840,2023-01-06,Surcharge,tentative connexion non autorisée détectée,Faible,Ouvert,Equipe Sécurité
841,2023-04-20,Surcharge,carte réseau ne répond plus,Faible,Ouvert,Equipe Support
842,2023-07-04,Panne matérielle,impossible daccéder internet,Critique,Ouvert,Equipe Systèmes
843,2023-06-19,Surcharge,capacité bande passante dépassée,Faible,Ouvert,Equipe Sécurité
844,2023-08-01,Intrusion,serveur web est surchargé,Faible,Résolu,Equipe Support
845,2023-09-06,Mise à jour échouée,échec mise jour logiciel,Critique,Résolu,Equipe Sécurité
846,2023-02-09,Problème de connexion,impossible daccéder internet,Moyenne,Ouvert,Equipe Systèmes
847,2023-12-11,Problème de connexion,malware a été trouvé sur serveur,Élevée,Résolu,Equipe Réseau
848,2023-03-20,Problème de connexion,connexion intermittente détectée,Moyenne,Résolu,Equipe Sécurité
849,2023-12-27,Panne matérielle,tentative connexion non autorisée détectée,Élevée,En cours,Equipe Réseau
850,2023-04-30,Problème de connexion,accès suspects ont été détectés,Élevée,Résolu,Equipe Réseau
851,2023-09-24,Mise à jour échouée,carte réseau ne répond plus,Critique,Ouvert,Equipe Réseau
852,2023-10-22,Problème de connexion,connexion au vpn a échoué,Moyenne,En cours,Equipe Réseau
853,2023-03-26,Intrusion,impossible dappliquer mise jour sécurité,Moyenne,Résolu,Equipe Systèmes
854,2023-05-06,Panne matérielle,serveur web est surchargé,Faible,Résolu,Equipe Support
855,2023-01-23,Panne matérielle,malware a été trouvé sur serveur,Faible,Ouvert,Equipe Support
856,2023-04-17,Panne matérielle,malware a été trouvé sur serveur,Critique,Ouvert,Equipe Sécurité
857,2023-05-12,Problème de connexion,capacité bande passante dépassée,Faible,En cours,Equipe Sécurité
858,2023-05-18,Mise à jour échouée,impossible daccéder internet,Élevée,Résolu,Equipe Systèmes
859,2023-12-14,Panne matérielle,malware a été trouvé sur serveur,Faible,En cours,Equipe Sécurité
860,2023-07-23,Mise à jour échouée,serveur principal a cessé fonctionner,Faible,Ouvert,Equipe Réseau
861,2023-06-18,Problème de connexion,impossible daccéder internet,Moyenne,Résolu,Equipe Sécurité
862,2023-10-23,Panne matérielle,carte réseau ne répond plus,Élevée,En cours,Equipe Réseau
863,2023-01-22,Intrusion,connexion au vpn a échoué,Faible,En cours,Equipe Support
864,2023-02-19,Problème de connexion,mise jour firmware a échoué,Moyenne,Résolu,Equipe Support
865,2023-03-10,Mise à jour échouée,impossible dappliquer mise jour sécurité,Élevée,En cours,Equipe Support
866,2023-06-10,Mise à jour échouée,connexion intermittente détectée,Faible,En cours,Equipe Support
867,2023-07-27,Problème de connexion,impossible daccéder internet,Élevée,Ouvert,Equipe Support
868,2023-09-14,Surcharge,mise jour firmware a échoué,Critique,En cours,Equipe Sécurité
869,2023-05-30,Panne matérielle,base données est sous forte charge,Moyenne,En cours,Equipe Réseau
870,2023-10-28,Surcharge,impossible dappliquer mise jour sécurité,Moyenne,Ouvert,Equipe Support
871,2023-12-17,Intrusion,accès suspects ont été détectés,Moyenne,En cours,Equipe Réseau
872,2023-11-08,Problème de connexion,serveur principal a cessé fonctionner,Critique,Résolu,Equipe Systèmes
873,2023-01-28,Mise à jour échouée,disque dur est tombé panne,Élevée,Ouvert,Equipe Support
874,2023-12-24,Problème de connexion,impossible dappliquer mise jour sécurité,Moyenne,Ouvert,Equipe Support
875,2023-07-25,Intrusion,échec mise jour logiciel,Faible,Ouvert,Equipe Réseau
876,2023-10-16,Surcharge,connexion au vpn a échoué,Moyenne,En cours,Equipe Systèmes
877,2023-02-27,Problème de connexion,mise jour firmware a échoué,Moyenne,En cours,Equipe Systèmes
878,2023-03-29,Problème de connexion,mise jour firmware a échoué,Élevée,Ouvert,Equipe Support
879,2023-03-13,Intrusion,base données est sous forte charge,Élevée,En cours,Equipe Réseau
880,2023-07-22,Mise à jour échouée,connexion intermittente détectée,Critique,En cours,Equipe Sécurité
881,2023-03-26,Intrusion,impossible daccéder internet,Moyenne,Ouvert,Equipe Support
882,2023-04-04,Panne matérielle,capacité bande passante dépassée,Élevée,Résolu,Equipe Systèmes
883,2023-07-08,Intrusion,impossible daccéder internet,Faible,En cours,Equipe Systèmes
884,2023-03-06,Surcharge,base données est sous forte charge,Moyenne,Ouvert,Equipe Réseau
885,2023-03-26,Panne matérielle,impossible dappliquer mise jour sécurité,Critique,Ouvert,Equipe Réseau
886,2023-02-03,Intrusion,serveur principal a cessé fonctionner,Critique,En cours,Equipe Support
887,2023-11-18,Intrusion,échec mise jour logiciel,Élevée,En cours,Equipe Réseau
888,2023-09-29,Mise à jour échouée,tentative connexion non autorisée détectée,Moyenne,En cours,Equipe Support
889,2023-03-28,Problème de connexion,connexion intermittente détectée,Critique,En cours,Equipe Réseau
890,2023-11-14,Problème de connexion,accès suspects ont été détectés,Élevée,Résolu,Equipe Support
891,2023-07-06,Intrusion,connexion intermittente détectée,Élevée,Ouvert,Equipe Réseau
892,2023-01-06,Mise à jour échouée,mise jour firmware a échoué,Élevée,En cours,Equipe Support
893,2023-06-06,Panne matérielle,échec mise jour logiciel,Critique,En cours,Equipe Support
894,2023-11-12,Problème de connexion,accès suspects ont été détectés,Critique,Ouvert,Equipe Systèmes
895,2023-03-11,Intrusion,tentative connexion non autorisée détectée,Critique,Résolu,Equipe Sécurité
896,2023-08-08,Problème de connexion,connexion au vpn a échoué,Moyenne,Résolu,Equipe Systèmes
897,2023-11-14,Surcharge,tentative connexion non autorisée détectée,Élevée,Ouvert,Equipe Support
898,2023-02-07,Intrusion,serveur principal a cessé fonctionner,Élevée,Ouvert,Equipe Sécurité
899,2023-08-01,Mise à jour échouée,accès suspects ont été détectés,Moyenne,Ouvert,Equipe Systèmes
900,2023-03-17,Intrusion,connexion intermittente détectée,Moyenne,En cours,Equipe Support
901,2023-06-09,Mise à jour échouée,connexion au vpn a échoué,Critique,Résolu,Equipe Sécurité
902,2023-03-18,Surcharge,malware a été trouvé sur serveur,Faible,Ouvert,Equipe Sécurité
903,2023-12-01,Panne matérielle,mise jour firmware a échoué,Faible,En cours,Equipe Sécurité
904,2023-09-04,Surcharge,impossible dappliquer mise jour sécurité,Faible,Ouvert,Equipe Réseau
905,2023-01-02,Panne matérielle,tentative connexion non autorisée détectée,Critique,Résolu,Equipe Réseau
906,2023-01-17,Surcharge,connexion intermittente détectée,Critique,Résolu,Equipe Réseau
907,2023-02-24,Intrusion,impossible daccéder internet,Critique,Résolu,Equipe Systèmes
908,2023-12-25,Intrusion,impossible dappliquer mise jour sécurité,Critique,Ouvert,Equipe Systèmes
909,2023-01-26,Surcharge,capacité bande passante dépassée,Faible,Ouvert,Equipe Systèmes
910,2023-09-15,Mise à jour échouée,disque dur est tombé panne,Critique,En cours,Equipe Support
911,2023-01-27,Surcharge,serveur principal a cessé fonctionner,Faible,Ouvert,Equipe Support
912,2023-04-15,Mise à jour échouée,serveur principal a cessé fonctionner,Moyenne,Ouvert,Equipe Systèmes
913,2023-07-24,Surcharge,disque dur est tombé panne,Moyenne,Ouvert,Equipe Support
914,2023-08-24,Mise à jour échouée,impossible daccéder internet,Moyenne,Résolu,Equipe Réseau
915,2023-08-22,Surcharge,capacité bande passante dépassée,Critique,Ouvert,Equipe Réseau
916,2023-06-04,Mise à jour échouée,impossible dappliquer mise jour sécurité,Faible,En cours,Equipe Réseau
917,2023-01-29,Surcharge,disque dur est tombé panne,Élevée,Résolu,Equipe Support
918,2023-07-19,Panne matérielle,carte réseau ne répond plus,Critique,Ouvert,Equipe Sécurité
919,2023-12-22,Surcharge,serveur web est surchargé,Moyenne,Ouvert,Equipe Support
920,2023-02-19,Panne matérielle,échec mise jour logiciel,Moyenne,Résolu,Equipe Sécurité
921,2023-12-09,Surcharge,malware a été trouvé sur serveur,Élevée,Résolu,Equipe Support
922,2023-07-10,Panne matérielle,impossible daccéder internet,Élevée,Ouvert,Equipe Systèmes
923,2023-03-06,Problème de connexion,disque dur est tombé panne,Moyenne,Résolu,Equipe Systèmes
924,2023-10-21,Mise à jour échouée,tentative connexion non autorisée détectée,Moyenne,Ouvert,Equipe Support
925,2023-04-20,Mise à jour échouée,serveur web est surchargé,Élevée,En cours,Equipe Réseau
926,2023-04-16,Problème de connexion,accès suspects ont été détectés,Faible,Ouvert,Equipe Systèmes
927,2023-03-28,Panne matérielle,disque dur est tombé panne,Critique,En cours,Equipe Support
928,2023-04-03,Problème de connexion,tentative connexion non autorisée détectée,Élevée,En cours,Equipe Systèmes
929,2023-11-05,Panne matérielle,connexion intermittente détectée,Moyenne,En cours,Equipe Réseau
930,2023-09-10,Panne matérielle,base données est sous forte charge,Critique,Ouvert,Equipe Sécurité
931,2023-05-29,Panne matérielle,capacité bande passante dépassée,Critique,Résolu,Equipe Sécurité
932,2023-10-15,Surcharge,carte réseau ne répond plus,Faible,Ouvert,Equipe Réseau
933,2023-09-05,Surcharge,capacité bande passante dépassée,Élevée,Résolu,Equipe Sécurité
934,2023-06-12,Problème de connexion,carte réseau ne répond plus,Faible,En cours,Equipe Systèmes
935,2023-02-19,Problème de connexion,connexion au vpn a échoué,Élevée,Ouvert,Equipe Systèmes
936,2023-12-20,Surcharge,échec mise jour logiciel,Moyenne,Ouvert,Equipe Support
937,2023-04-07,Surcharge,capacité bande passante dépassée,Faible,En cours,Equipe Réseau
938,2023-03-30,Intrusion,disque dur est tombé panne,Élevée,En cours,Equipe Systèmes
939,2023-01-14,Surcharge,connexion au vpn a échoué,Faible,Résolu,Equipe Réseau
940,2023-11-01,Problème de connexion,connexion intermittente détectée,Faible,Résolu,Equipe Sécurité
941,2023-06-14,Mise à jour échouée,connexion intermittente détectée,Critique,Résolu,Equipe Support
942,2023-08-15,Panne matérielle,connexion au vpn a échoué,Élevée,En cours,Equipe Réseau
943,2023-07-05,Panne matérielle,capacité bande passante dépassée,Élevée,Ouvert,Equipe Réseau
944,2023-08-23,Panne matérielle,serveur web est surchargé,Critique,Ouvert,Equipe Sécurité
945,2023-01-09,Mise à jour échouée,tentative connexion non autorisée détectée,Faible,En cours,Equipe Support
946,2023-05-01,Intrusion,accès suspects ont été détectés,Critique,Ouvert,Equipe Sécurité
947,2023-07-18,Panne matérielle,tentative connexion non autorisée détectée,Élevée,En cours,Equipe Réseau
948,2023-04-13,Mise à jour échouée,connexion intermittente détectée,Moyenne,Ouvert,Equipe Réseau
949,2023-10-05,Intrusion,disque dur est tombé panne,Élevée,Résolu,Equipe Réseau
950,2023-05-11,Mise à jour échouée,carte réseau ne répond plus,Moyenne,Résolu,Equipe Systèmes
951,2023-09-24,Problème de connexion,serveur principal a cessé fonctionner,Élevée,Résolu,Equipe Support
952,2023-07-15,Mise à jour échouée,échec mise jour logiciel,Faible,Résolu,Equipe Réseau
953,2023-11-15,Intrusion,disque dur est tombé panne,Critique,En cours,Equipe Sécurité
954,2023-02-28,Mise à jour échouée,connexion intermittente détectée,Moyenne,Ouvert,Equipe Sécurité
955,2023-08-08,Mise à jour échouée,disque dur est tombé panne,Critique,En cours,Equipe Réseau
956,2023-09-11,Mise à jour échouée,connexion intermittente détectée,Moyenne,En cours,Equipe Systèmes
957,2023-10-18,Panne matérielle,mise jour firmware a échoué,Élevée,Ouvert,Equipe Réseau
958,2023-10-31,Panne matérielle,connexion intermittente détectée,Faible,Ouvert,Equipe Support
959,2023-08-10,Mise à jour échouée,base données est sous forte charge,Critique,Ouvert,Equipe Support
960,2023-04-22,Panne matérielle,serveur principal a cessé fonctionner,Critique,Résolu,Equipe Support
961,2023-10-24,Mise à jour échouée,tentative connexion non autorisée détectée,Élevée,En cours,Equipe Support
962,2023-01-27,Problème de connexion,disque dur est tombé panne,Moyenne,Résolu,Equipe Systèmes
963,2023-11-04,Intrusion,malware a été trouvé sur serveur,Moyenne,Ouvert,Equipe Réseau
964,2023-02-18,Surcharge,connexion au vpn a échoué,Faible,Résolu,Equipe Réseau
965,2023-09-16,Surcharge,connexion au vpn a échoué,Moyenne,Ouvert,Equipe Systèmes
966,2023-07-14,Problème de connexion,accès suspects ont été détectés,Moyenne,Ouvert,Equipe Systèmes
967,2023-02-18,Intrusion,connexion au vpn a échoué,Élevée,Résolu,Equipe Systèmes
968,2023-01-26,Panne matérielle,serveur principal a cessé fonctionner,Faible,En cours,Equipe Support
969,2023-09-27,Panne matérielle,serveur principal a cessé fonctionner,Critique,Ouvert,Equipe Systèmes
970,2023-01-13,Problème de connexion,échec mise jour logiciel,Moyenne,Résolu,Equipe Systèmes
971,2023-02-13,Surcharge,carte réseau ne répond plus,Critique,Résolu,Equipe Support
972,2023-07-04,Surcharge,impossible dappliquer mise jour sécurité,Élevée,Résolu,Equipe Systèmes
973,2023-08-15,Surcharge,accès suspects ont été détectés,Critique,Ouvert,Equipe Support
974,2023-07-08,Problème de connexion,disque dur est tombé panne,Moyenne,Résolu,Equipe Sécurité
975,2023-04-30,Problème de connexion,disque dur est tombé panne,Moyenne,Résolu,Equipe Support
976,2023-01-08,Problème de connexion,malware a été trouvé sur serveur,Moyenne,Ouvert,Equipe Systèmes
977,2023-10-25,Surcharge,serveur web est surchargé,Élevée,En cours,Equipe Réseau
978,2023-04-19,Panne matérielle,connexion au vpn a échoué,Élevée,Résolu,Equipe Sécurité
979,2023-12-12,Problème de connexion,impossible daccéder internet,Faible,Résolu,Equipe Support
980,2023-06-03,Intrusion,connexion intermittente détectée,Élevée,Résolu,Equipe Systèmes
981,2023-07-14,Mise à jour échouée,tentative connexion non autorisée détectée,Élevée,Résolu,Equipe Support
982,2023-07-08,Mise à jour échouée,malware a été trouvé sur serveur,Faible,En cours,Equipe Support
983,2023-11-18,Intrusion,connexion intermittente détectée,Faible,Ouvert,Equipe Sécurité
984,2023-04-05,Surcharge,serveur principal a cessé fonctionner,Moyenne,Ouvert,Equipe Réseau
985,2023-10-15,Panne matérielle,disque dur est tombé panne,Critique,En cours,Equipe Systèmes
986,2023-05-25,Intrusion,impossible dappliquer mise jour sécurité,Moyenne,En cours,Equipe Support
987,2023-04-25,Intrusion,accès suspects ont été détectés,Faible,Résolu,Equipe Réseau
988,2023-02-10,Intrusion,accès suspects ont été détectés,Élevée,Ouvert,Equipe Sécurité
989,2023-04-07,Mise à jour échouée,malware a été trouvé sur serveur,Moyenne,Résolu,Equipe Support
990,2023-10-27,Panne matérielle,impossible daccéder internet,Élevée,Résolu,Equipe Réseau
991,2023-10-12,Surcharge,malware a été trouvé sur serveur,Critique,Résolu,Equipe Support
